Date,Close/Last,Open,High,Low
11/24/2021,1187.02,1177.98,1191.17,1171.65
11/23/2021,1177.98,1143.98,1180.11,1143.98
11/22/2021,1143.98,1127.64,1159.03,1126.17
11/19/2021,1127.64,1173.51,1173.51,1125.41
11/18/2021,1173.51,1180.67,1181.77,1160.75
11/17/2021,1180.67,1197.63,1201.26,1177.80
11/16/2021,1197.63,1195.35,1207.52,1195.35
11/15/2021,1195.35,1183.27,1201.42,1176.59
11/12/2021,1183.27,1188.02,1188.02,1177.43
11/11/2021,1188.02,1186.92,1197.59,1186.92
11/10/2021,1186.92,1220.83,1220.83,1181.35
11/09/2021,1220.83,1213.93,1220.93,1203.24
11/08/2021,1213.93,1203.32,1224.37,1203.32
11/05/2021,1203.32,1184.83,1206.99,1184.83
11/04/2021,1184.83,1182.43,1202.22,1177.47
11/03/2021,1182.43,1196.35,1196.35,1176.45
11/02/2021,1196.35,1213.44,1213.44,1194.24
11/01/2021,1213.44,1196.71,1217.49,1196.71
10/29/2021,1196.71,1206.83,1210.40,1192.67
10/28/2021,1206.83,1201.58,1208.07,1193.83
10/27/2021,1201.58,1230.89,1230.89,1199.82
10/26/2021,1230.89,1225.74,1234.20,1222.87
10/25/2021,1225.74,1209.90,1232.49,1209.90
10/22/2021,1209.90,1204.50,1211.00,1194.73
10/21/2021,1204.50,1224.96,1224.96,1196.43
10/20/2021,1224.96,1214.54,1225.60,1205.70
10/19/2021,1214.54,1202.07,1217.79,1202.07
10/18/2021,1202.07,1202.34,1215.66,1197.79
10/15/2021,1202.34,1194.85,1211.01,1194.85
10/14/2021,1194.85,1182.37,1200.84,1182.37
10/13/2021,1182.37,1179.89,1187.84,1164.09
10/12/2021,1179.89,1182.34,1191.53,1175.47
10/11/2021,1182.34,1184.07,1203.93,1182.04
10/08/2021,1184.07,1153.51,1186.51,1153.51
10/07/2021,1153.51,1148.11,1159.14,1140.57
10/06/2021,1148.11,1162.55,1162.55,1130.05
10/05/2021,1162.55,1148.77,1178.12,1148.77
10/04/2021,1148.77,1132.90,1158.51,1132.90
10/01/2021,1132.90,1103.21,1134.14,1103.21
09/30/2021,1103.21,1108.48,1118.71,1099.37
09/29/2021,1108.48,1111.54,1114.48,1095.18
09/28/2021,1111.54,1105.62,1129.05,1105.62
09/27/2021,1105.62,1069.70,1109.06,1069.70
09/24/2021,1069.70,1065.87,1073.68,1057.52
09/23/2021,1065.87,1037.97,1067.76,1037.97
09/22/2021,1037.97,1007.92,1051.30,1007.92
09/21/2021,1007.92,997.4976,1016.96,997.4976
09/20/2021,997.4976,1022.55,1022.55,982.8458
09/17/2021,1022.55,1028.27,1036.86,1018.31
09/16/2021,1028.27,1040.10,1040.10,1021.53
09/15/2021,1040.10,997.5219,1040.67,997.5219
09/14/2021,997.5219,1014.16,1026.26,994.1833
09/13/2021,1014.16,980.634,1017.07,980.634
09/10/2021,980.634,982.0257,998.5325,980.3673
09/09/2021,982.0257,981.7717,996.7598,971.168
09/08/2021,981.7717,1000.01,1007.50,981.4734
09/07/2021,1000.01,1002.26,1013.33,995.1305
09/03/2021,1002.26,1007.31,1012.49,995.8387
09/02/2021,1007.31,982.7988,1017.96,982.7988
09/01/2021,982.7988,998.6374,1002.21,979.7563
08/31/2021,998.6595,1001.13,1007.29,992.0325
08/30/2021,1001.13,1010.76,1018.30,1001.09
08/27/2021,1010.76,980.5015,1016.39,980.5015
08/26/2021,980.5015,997.2347,997.2347,978.805
08/25/2021,997.2347,988.7853,1001.59,981.2085
08/24/2021,988.7853,971.9305,992.2708,971.9305
08/23/2021,971.9305,933.7036,973.7743,933.7036
08/20/2021,933.7036,931.6161,937.7156,918.6659
08/19/2021,931.6161,957.7708,957.7708,918.3828
08/18/2021,957.7708,978.3366,985.9514,957.1135
08/17/2021,978.3366,990.199,995.2079,971.6984
08/16/2021,990.199,1013.07,1013.07,984.8382
08/13/2021,1013.07,1030.52,1030.52,1012.12
08/12/2021,1030.52,1031.30,1034.44,1018.13
08/11/2021,1031.30,1023.31,1032.60,1014.06
08/10/2021,1023.31,1008.69,1025.80,1008.69
08/09/2021,1008.69,1023.91,1023.91,1001.93
08/06/2021,1023.91,1016.64,1032.68,1016.64
08/05/2021,1016.64,998.5712,1028.26,998.5712
08/04/2021,998.5712,1035.57,1035.57,998.0686
08/03/2021,1035.57,1009.33,1036.74,1002.63
08/02/2021,1009.33,1018.18,1045.15,1009.06
07/30/2021,1018.18,1034.78,1034.78,1011.02
07/29/2021,1034.78,1028.60,1045.56,1028.60
07/28/2021,1028.60,1013.14,1035.85,1010.01
07/27/2021,1013.14,1024.42,1024.42,1003.13
07/26/2021,1024.42,1000.57,1029.52,1000.57
07/23/2021,1000.57,1007.44,1007.44,992.0155
07/22/2021,1007.44,1017.44,1017.44,998.4275
07/21/2021,1017.44,980.5567,1024.93,980.5567
07/20/2021,980.5567,969.2576,990.152,958.7645
07/19/2021,969.2576,1010.33,1010.33,958.212
07/16/2021,1010.33,1040.09,1047.65,1008.00
07/15/2021,1040.09,1059.16,1059.16,1035.95
07/14/2021,1059.16,1094.69,1109.98,1055.88
07/13/2021,1094.69,1101.75,1103.57,1086.76
07/12/2021,1101.75,1103.88,1109.51,1083.93
07/09/2021,1103.88,1083.85,1105.36,1083.85
07/08/2021,1083.85,1095.10,1095.10,1068.40
07/07/2021,1095.10,1118.60,1124.75,1085.48
07/06/2021,1118.60,1158.63,1158.63,1115.60
07/02/2021,1158.63,1163.20,1163.56,1147.47
07/01/2021,1163.20,1138.65,1172.38,1138.65
06/30/2021,1138.65,1125.60,1144.89,1125.60
06/29/2021,1125.60,1131.88,1143.48,1124.27
06/28/2021,1131.88,1175.77,1175.77,1128.65
06/25/2021,1175.77,1166.34,1176.29,1163.74
06/24/2021,1166.34,1150.44,1167.79,1149.56
06/23/2021,1150.44,1146.61,1175.66,1146.61
06/22/2021,1146.61,1141.00,1151.63,1125.32
06/21/2021,1141.00,1090.60,1143.26,1090.60
06/18/2021,1090.60,1122.39,1122.39,1090.60
06/17/2021,1122.39,1160.88,1165.66,1106.92
06/16/2021,1160.88,1171.66,1174.25,1152.37
06/15/2021,1171.66,1150.90,1173.00,1150.90
06/14/2021,1150.90,1149.00,1167.25,1142.15
06/11/2021,1149.00,1149.67,1162.70,1148.12
06/10/2021,1149.67,1149.85,1173.12,1139.01
06/09/2021,1149.85,1160.25,1168.46,1149.79
06/08/2021,1160.25,1149.84,1162.46,1129.81
06/07/2021,1149.84,1152.08,1157.99,1148.06
06/04/2021,1152.08,1144.11,1155.67,1136.06
06/03/2021,1144.11,1145.09,1151.88,1133.32
06/02/2021,1145.09,1127.30,1151.81,1121.36
06/01/2021,1127.30,1082.59,1128.56,1082.59
05/28/2021,1082.59,1081.08,1086.78,1077.62
05/27/2021,1081.08,1074.05,1084.82,1073.60
05/26/2021,1074.05,1061.08,1076.92,1058.84
05/25/2021,1061.08,1082.56,1082.56,1059.95
05/24/2021,1082.56,1067.56,1083.81,1064.43
05/21/2021,1067.56,1068.30,1085.74,1067.12
05/20/2021,1068.30,1072.13,1072.58,1055.96
05/19/2021,1072.13,1099.12,1099.12,1058.24
05/18/2021,1099.12,1120.10,1124.91,1096.06
05/17/2021,1120.31,1099.45,1120.33,1092.35
05/14/2021,1099.45,1061.25,1103.25,1061.25
05/13/2021,1061.25,1080.43,1085.70,1048.44
05/12/2021,1080.43,1074.91,1112.94,1074.91
05/11/2021,1074.91,1101.80,1101.80,1065.57
05/10/2021,1101.80,1105.09,1131.10,1101.57
05/07/2021,1105.09,1083.22,1105.37,1069.80
05/06/2021,1083.22,1079.40,1083.22,1057.98
05/05/2021,1079.40,1043.24,1084.34,1043.24
05/04/2021,1043.24,1049.19,1058.93,1032.74
05/03/2021,1049.19,1019.85,1050.46,1019.85
04/30/2021,1019.85,1044.93,1045.65,1018.97
04/29/2021,1044.93,1036.61,1060.39,1035.64
04/28/2021,1036.61,1000.64,1041.13,1000.64
04/27/2021,1000.64,985.3278,1003.66,985.3278
04/26/2021,985.3278,978.6746,991.2819,977.0847
04/23/2021,978.6746,967.6962,982.244,966.2067
04/22/2021,967.6962,982.5695,982.5695,964.9148
