"sc-2e6baa30-0 href","sc-4e537b1-1","sc-814e9212-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/cn08vn8zg45o","8 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/d4ba/live/9f76d4d0-3d39-11ef-96a8-e710c6bfc866.jpg.webp","Bank rate-setter says hold interest rates in August","One member of the Bank of England's committee deciding rates warns inflation could go back up.","Business"
"https://www.bbc.com/news/articles/cn08zxxn6jwo","22 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/41e9/live/4adb0c30-4814-11ef-96a8-e710c6bfc866.jpg.webp","'Predator' who inflicted six years of abuse on girl jailed","Andrew Bate began abusing a girl when she was eight and continued to attack her for years, police say.","England"
"https://www.bbc.com/news/articles/c7243n2xxpgo","22 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/7cad/live/e5524c90-4834-11ef-93c3-ffc52948adf5.jpg.webp","Shipyard support was ‘too risky for taxpayers’","The loss-making shipbuilder had applied for a loan guarantee of up to £200m.","Northern Ireland"
"https://www.bbc.com/news/articles/cp4wkkgz8g9o","22 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/3e31/live/a2110500-482c-11ef-93c3-ffc52948adf5.jpg.webp","Households to get loans to pay for energy savings","Grants are available for home improvements such as solar panels, insulation and heat pumps.",""
"https://www.bbc.com/news/articles/cw5ykyzdzezo","18 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/892b/live/75be6090-44cd-11ef-b274-e75710d2ac6b.jpg.webp","Pay grows at slowest rate for almost two years","The jobs market is showing signs of cooling but wage increases are still outpacing rising prices.","Business"
"https://www.bbc.com/news/articles/c80e9k4wegno","17 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/dc00/live/61b120e0-4452-11ef-b74c-bb483a802c97.jpg.webp","Pound hits highest level against dollar for a year","Pound highest against dollar in a year as investors bet on UK rates staying higher for longer.","Business"
"https://www.bbc.com/news/articles/ck7gzllwlmlo","17 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/4ee0/live/8d239270-4417-11ef-a173-650f2ea14a44.jpg.webp","Falling clothes prices help keep inflation rate steady","The cost of living rose at 2% in the year to June, in line with the Bank of England's target.","Business"
"https://www.bbc.com/news/articles/c7209lk8x2wo","22 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/32e9/live/2222ce10-45dd-11ef-9e1c-3b4a473456a6.jpg.webp","'I earn £50,000 and can't afford to buy a house'","Renters are four times less likely than current owners to be able to afford a home, research suggests.","Business"
"https://www.bbc.com/news/articles/c0verngqpwgo","19 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/0372/live/24f41850-45a2-11ef-af77-8713e5143fed.jpg.webp","Danske Bank made £103m profit in first half of 2024","The bank approved £360m of mortgage lending in the half of this year, up over 30%.","Northern Ireland"
"https://www.bbc.com/news/articles/cy68vg26499o","16 Jul 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/68bb/live/5560dd20-4354-11ef-b362-7fae70c22de6.jpg.webp","Battle for savers most intense for 12  years","The choice of savings accounts at its highest since 2012, but the interest paid could fall soon.","Business"
